Entity,Currency,AlphabeticCode,NumericCode,MinorUnit,WithdrawalDate
ÅLAND ISLANDS,Euro,EUR,978,2,
AMERICAN SAMOA,US Dollar,USD,840,2,
ANDORRA,Euro,EUR,978,2,
AUSTRALIA,Australian Dollar,AUD,36,2,
AUSTRIA,Euro,EUR,978,2,
BELGIUM,Euro,EUR,978,2,
BHUTAN,Indian Rupee,INR,356,2,
"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar,USD,840,2,
BOUVET ISLAND,Norwegian Krone,NOK,578,2,
BRAZIL,Brazilian Real,BRL,986,2,
BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840,2,
BULGARIA,Bulgarian Lev,BGN,975,2,
CANADA,Canadian Dollar,CAD,124,2,
CHINA,Yuan Renminbi,CNY,156,2,
CHRISTMAS ISLAND,Australian Dollar,AUD,36,2,
COCOS (KEELING) ISLANDS (THE),Australian Dollar,AUD,36,2,
COOK ISLANDS (THE),New Zealand Dollar,NZD,554,2,
CROATIA,Kuna,HRK,191,2,
CYPRUS,Euro,EUR,978,2,
CZECHIA,Czech Koruna,CZK,203,2,
DENMARK,Danish Krone,DKK,208,2,
ECUADOR,US Dollar,USD,840,2,
EL SALVADOR,US Dollar,USD,840,2,
ESTONIA,Euro,EUR,978,2,
EUROPEAN UNION,Euro,EUR,978,2,
FAROE ISLANDS (THE),Danish Krone,DKK,208,2,
FINLAND,Euro,EUR,978,2,
FRANCE,Euro,EUR,978,2,
FRENCH GUIANA,Euro,EUR,978,2,
FRENCH SOUTHERN TERRITORIES (THE),Euro,EUR,978,2,
GERMANY,Euro,EUR,978,2,
GREECE,Euro,EUR,978,2,
GREENLAND,Danish Krone,DKK,208,2,
GUADELOUPE,Euro,EUR,978,2,
GUAM,US Dollar,USD,840,2,
GUERNSEY,Pound Sterling,GBP,826,2,
HAITI,US Dollar,USD,840,2,
HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar,AUD,36,2,
HOLY SEE (THE),Euro,EUR,978,2,
HONG KONG,Hong Kong Dollar,HKD,344,2,
HUNGARY,Forint,HUF,348,2,
ICELAND,Iceland Krona,ISK,352,0,
INDIA,Indian Rupee,INR,356,2,
INDONESIA,Rupiah,IDR,360,2,
IRELAND,Euro,EUR,978,2,
ISLE OF MAN,Pound Sterling,GBP,826,2,
ISRAEL,New Israeli Sheqel,ILS,376,2,
ITALY,Euro,EUR,978,2,
JAPAN,Yen,JPY,392,0,
JERSEY,Pound Sterling,GBP,826,2,
KIRIBATI,Australian Dollar,AUD,36,2,
KOREA (THE REPUBLIC OF),Won,KRW,410,0,
LATVIA,Euro,EUR,978,2,
LESOTHO,Rand,ZAR,710,2,
LIECHTENSTEIN,Swiss Franc,CHF,756,2,
LITHUANIA,Euro,EUR,978,2,
LUXEMBOURG,Euro,EUR,978,2,
MALAYSIA,Malaysian Ringgit,MYR,458,2,
MALTA,Euro,EUR,978,2,
MARSHALL ISLANDS (THE),US Dollar,USD,840,2,
MARTINIQUE,Euro,EUR,978,2,
MAYOTTE,Euro,EUR,978,2,
MEXICO,Mexican Peso,MXN,484,2,
MICRONESIA (FEDERATED STATES OF),US Dollar,USD,840,2,
MONACO,Euro,EUR,978,2,
MONTENEGRO,Euro,EUR,978,2,
NAMIBIA,Rand,ZAR,710,2,
NAURU,Australian Dollar,AUD,36,2,
NETHERLANDS (THE),Euro,EUR,978,2,
NEW ZEALAND,New Zealand Dollar,NZD,554,2,
NIUE,New Zealand Dollar,NZD,554,2,
NORFOLK ISLAND,Australian Dollar,AUD,36,2,
NORTHERN MARIANA ISLANDS (THE),US Dollar,USD,840,2,
NORWAY,Norwegian Krone,NOK,578,2,
PALAU,US Dollar,USD,840,2,
PANAMA,US Dollar,USD,840,2,
PHILIPPINES (THE),Philippine Peso,PHP,608,2,
PITCAIRN,New Zealand Dollar,NZD,554,2,
POLAND,Zloty,PLN,985,2,
PORTUGAL,Euro,EUR,978,2,
PUERTO RICO,US Dollar,USD,840,2,
RÉUNION,Euro,EUR,978,2,
ROMANIA,Romanian Leu,RON,946,2,
RUSSIAN FEDERATION (THE),Russian Ruble,RUB,643,2,
SAINT BARTHÉLEMY,Euro,EUR,978,2,
SAINT MARTIN (FRENCH PART),Euro,EUR,978,2,
SAINT PIERRE AND MIQUELON,Euro,EUR,978,2,
SAN MARINO,Euro,EUR,978,2,
SINGAPORE,Singapore Dollar,SGD,702,2,
SLOVAKIA,Euro,EUR,978,2,
SLOVENIA,Euro,EUR,978,2,
SOUTH AFRICA,Rand,ZAR,710,2,
SPAIN,Euro,EUR,978,2,
SVALBARD AND JAN MAYEN,Norwegian Krone,NOK,578,2,
SWEDEN,Swedish Krona,SEK,752,2,
SWITZERLAND,Swiss Franc,CHF,756,2,
THAILAND,Baht,THB,764,2,
TIMOR-LESTE,US Dollar,USD,840,2,
TOKELAU,New Zealand Dollar,NZD,554,2,
TURKEY,Turkish Lira,TRY,949,2,
TURKS AND CAICOS ISLANDS (THE),US Dollar,USD,840,2,
TUVALU,Australian Dollar,AUD,36,2,
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),Pound Sterling,GBP,826,2,
UNITED STATES MINOR OUTLYING ISLANDS (THE),US Dollar,USD,840,2,
UNITED STATES OF AMERICA (THE),US Dollar,USD,840,2,
VIRGIN ISLANDS (BRITISH),US Dollar,USD,840,2,
VIRGIN ISLANDS (U.S.),US Dollar,USD,840,2,
